session_id,scheduled_start,actual_start,duration_min,location,status,session_title,district_id,district_name,program,enrolled_count,present_count,absent_count,subject,tutor_id,tutor_email,tutor_present,skills,student_id,roster_status,attended,joined_at,left_at,minutes_in_session,school_name,grade,section,course,engagement,skill_progress,exported_at
51000217,2026-01-06 12:35:00,2026-01-06 12:35:00,30,ONLINE,COMPLETED,LT-3: Write and solve one-step equations from word problems (M.6.EE.5),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-3: Write and solve one-step equations from word problems (M.6.EE.5),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2026-01-06 12:38:00,2026-01-06 13:04:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,0,2026-02-04 06:00:00
51000217,2026-01-06 12:35:00,2026-01-06 12:35:00,30,ONLINE,COMPLETED,LT-3: Write and solve one-step equations from word problems (M.6.EE.5),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-3: Write and solve one-step equations from word problems (M.6.EE.5),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000236,2026-01-08 12:35:00,2026-01-08 12:35:00,30,ONLINE,COMPLETED,LT-2: Construct linear functions from tables and graphs (M.8.F.4),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-2: Construct linear functions from tables and graphs (M.8.F.4),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000236,2026-01-08 12:35:00,2026-01-08 12:35:00,30,ONLINE,COMPLETED,LT-2: Construct linear functions from tables and graphs (M.8.F.4),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-2: Construct linear functions from tables and graphs (M.8.F.4),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2026-01-08 12:40:00,2026-01-08 13:03:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-02-04 06:00:00
51000258,2026-01-13 12:35:00,2026-01-13 12:35:00,30,ONLINE,COMPLETED,,42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,,ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2026-01-13 12:40:00,2026-01-13 13:04:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000258,2026-01-13 12:35:00,2026-01-13 12:35:00,30,ONLINE,COMPLETED,,42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,,eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000300,2026-01-15 12:35:00,2026-01-15 12:35:00,30,ONLINE,COMPLETED,,42,Larkspur Bend County Schools,NQ-42-SY26,2,0,2,MATH,64240,eslami.numbers@example.com,1,,ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000300,2026-01-15 12:35:00,2026-01-15 12:35:00,30,ONLINE,COMPLETED,,42,Larkspur Bend County Schools,NQ-42-SY26,2,0,2,MATH,64240,eslami.numbers@example.com,1,,eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
51000307,2026-01-20 12:35:00,2026-01-20 12:35:00,30,ONLINE,COMPLETED,LT-2: Interpret unit rate as slope in proportional relationships (M.7.RP.2),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-2: Interpret unit rate as slope in proportional relationships (M.7.RP.2),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2026-01-20 12:44:00,2026-01-20 13:04:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-02-04 06:00:00
51000307,2026-01-20 12:35:00,2026-01-20 12:35:00,30,ONLINE,COMPLETED,LT-2: Interpret unit rate as slope in proportional relationships (M.7.RP.2),42,Larkspur Bend County Schools,NQ-42-SY26,2,1,1,MATH,64240,eslami.numbers@example.com,1,LT-2: Interpret unit rate as slope in proportional relationships (M.7.RP.2),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,0,,,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,0,0,2026-02-04 06:00:00
