session_id,scheduled_start,actual_start,duration_min,location,status,session_title,district_id,district_name,program,enrolled_count,present_count,absent_count,subject,tutor_id,tutor_email,tutor_present,skills,student_id,roster_status,attended,joined_at,left_at,minutes_in_session,school_name,grade,section,course,engagement,skill_progress,exported_at
51000013,2025-12-02 12:35:00,2025-12-02 12:35:00,30,ONLINE,COMPLETED,Assessment,42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,Assessment,ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2025-12-02 12:36:00,2025-12-02 12:59:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000013,2025-12-02 12:35:00,2025-12-02 12:35:00,30,ONLINE,COMPLETED,Assessment,42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,Assessment,eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2025-12-02 12:46:00,2025-12-02 12:59:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000031,2025-12-04 12:35:00,2025-12-04 12:35:00,30,ONLINE,COMPLETED,LT-3: Solve two-step equations and inequalities (M.7.EE.4),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-3: Solve two-step equations and inequalities (M.7.EE.4),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2025-12-04 12:41:00,2025-12-04 13:04:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,0,2026-01-05 06:00:00
51000031,2025-12-04 12:35:00,2025-12-04 12:35:00,30,ONLINE,COMPLETED,LT-3: Solve two-step equations and inequalities (M.7.EE.4),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-3: Solve two-step equations and inequalities (M.7.EE.4),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2025-12-04 12:45:00,2025-12-04 13:01:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,0,2026-01-05 06:00:00
51000037,2025-12-09 12:35:00,2025-12-09 12:35:00,30,ONLINE,COMPLETED,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2025-12-09 12:36:00,2025-12-09 13:04:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000037,2025-12-09 12:35:00,2025-12-09 12:35:00,30,ONLINE,COMPLETED,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2025-12-09 12:39:00,2025-12-09 12:59:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,0,2026-01-05 06:00:00
51000097,2025-12-11 12:35:00,2025-12-11 12:35:00,30,ONLINE,COMPLETED,LT-1: Add and subtract signed rational numbers (M.7.NS.1),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Add and subtract signed rational numbers (M.7.NS.1),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2025-12-11 12:44:00,2025-12-11 13:00:00,16.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000097,2025-12-11 12:35:00,2025-12-11 12:35:00,30,ONLINE,COMPLETED,LT-1: Add and subtract signed rational numbers (M.7.NS.1),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Add and subtract signed rational numbers (M.7.NS.1),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2025-12-11 12:46:00,2025-12-11 13:05:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000107,2025-12-16 12:35:00,2025-12-16 12:35:00,30,ONLINE,COMPLETED,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),ab12b78c-20ec-476e-bafb-9d181e3439b5,ACCEPTED,1,2025-12-16 12:36:00,2025-12-16 12:59:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,1,2026-01-05 06:00:00
51000107,2025-12-16 12:35:00,2025-12-16 12:35:00,30,ONLINE,COMPLETED,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),42,Larkspur Bend County Schools,NQ-42-SY26,2,2,0,MATH,64240,eslami.numbers@example.com,1,LT-1: Compare and order rational numbers on a number line (M.6.NS.6),eaa4eb7b-48cc-44e5-94d8-a892cb8f2b33,ACCEPTED,1,2025-12-16 12:44:00,2025-12-16 13:02:00,0.0,Juniper Vale South MS,06,NQ-40003 C19G,C19G,1,0,2026-01-05 06:00:00
